GID_0,HASC_1,NAME_0,NAME_1,VARNAME_1,GID_0.1,HASC_1.1,NAME_0.1,NAME_1.1,VARNAME_1.1,Change_2009_2019-1950_1970,LinReg_1950_2019_Intercept,LinReg_1950_2019_Slope,LinReg_1950_2019_R_Squared,LinReg_1970_2019_Intercept,LinReg_1970_2019_Slope,LinReg_1970_2019_R_Squared
DEU,DE.SL,Germany,Saarland,,DEU,DE.SL,Germany,Saarland,,1.3260297461374542,-44.441570131138505,0.02722928940793726,0.4714235692204606,-60.9813309466454,0.035504422022889844,0.4684779593560551
DEU,DE.SH,Germany,Schleswig-Holstein,,DEU,DE.SH,Germany,Schleswig-Holstein,,1.466107999403679,-48.26079629785622,0.02886147111355522,0.43866425765674777,-66.86772048253728,0.03816997416547152,0.4185832722796683
DEU,DE.BW,Germany,Baden-W�rttemberg,,DEU,DE.BW,Germany,Baden-W�rttemberg,,0.9977034260095969,-39.49161894801353,0.02462383321287661,0.4003862653571534,-46.990065454394724,0.02837773376005699,0.3074235182744176
DEU,DE.BE,Germany,Berlin,,DEU,DE.BE,Germany,Berlin,,1.6213343880254456,-48.47868674179025,0.029350044086111568,0.40098304046320565,-72.7661703121785,0.04149905736097124,0.42931306845266193
DEU,DE.BR,Germany,Brandenburg,,DEU,DE.BR,Germany,Brandenburg,,1.6259656523888761,-48.38728302104954,0.029238274998372567,0.40064316238160924,-72.085810854923,0.04109259393874981,0.42466665951704863
DEU,DE.HE,Germany,Hessen,Hesse,DEU,DE.HE,Germany,Hessen,Hesse,0.5662485115176992,-14.936842847196347,0.012150912911691987,0.1335219971138083,-37.99597537616992,0.023683661296214117,0.2544507852467873
DEU,DE.NI,Germany,Niedersachsen,Lower Saxony,DEU,DE.NI,Germany,Niedersachsen,Lower Saxony,1.7498423948178399,-56.68045792488429,0.03325777011820872,0.5389107070752727,-70.7743994617422,0.04031002850521292,0.4797952758925632
DEU,DE.ST,Germany,Sachsen-Anhalt,Saxony-Anhalt,DEU,DE.ST,Germany,Sachsen-Anhalt,Saxony-Anhalt,1.6653157673457262,-49.10202430351163,0.029424711504533897,0.4152916329513111,-69.297705102321,0.03952774654918876,0.41673810388150545
DEU,DE.RP,Germany,Rheinland-Pfalz,Rhineland-Palatinate,DEU,DE.RP,Germany,Rheinland-Pfalz,Rhineland-Palatinate,0.9871977031888495,-33.054836455393676,0.021396286544200723,0.3529602941979477,-47.916603335242634,0.028832157017701258,0.36315141416406516
DEU,DE.NW,Germany,Nordrhein-Westfalen,North Rhine-Westphalia,DEU,DE.NW,Germany,Nordrhein-Westfalen,North Rhine-Westphalia,1.1621968245550285,-35.11199784872568,0.02257159554167202,0.36854608147059886,-54.42394021309389,0.03223129379011118,0.39662189069394704
DEU,DE.MV,Germany,Mecklenburg-Vorpommern,Mecklenburg-West Pomerania,DEU,DE.MV,Germany,Mecklenburg-Vorpommern,Mecklenburg-West Pomerania,1.5415775659111315,-48.63115503527808,0.028985842452388434,0.41215271046670254,-70.97220818167989,0.04016111597945092,0.42794200010879846
DEU,DE.SN,Germany,Sachsen,Saxony,DEU,DE.SN,Germany,Sachsen,Saxony,1.8198253938774895,-54.81809717350086,0.0317596997687135,0.42312137989014276,-88.31135092806308,0.04851306243575825,0.5083117301955041
DEU,DE.BY,Germany,Bayern,Bavaria,DEU,DE.BY,Germany,Bayern,Bavaria,1.6874426050301263,-53.77996361751476,0.03147819099284285,0.5281886016311195,-79.91015933500374,0.04454959157624109,0.5896525361099874
DEU,DE.TH,Germany,Th�ringen,Thuringia,DEU,DE.TH,Germany,Th�ringen,Thuringia,1.1259638303468957,-31.387443119915062,0.020008767834102742,0.24856221116710564,-67.53098786853562,0.03808481545912977,0.4324371836023755
DEU,DE.HB,Germany,Bremen,,DEU,DE.HB,Germany,Bremen,,1.5107600356593238,-48.656687028502276,0.02939374794502687,0.4756307325553616,-64.9618396492143,0.03755102089663997,0.43620227992342386
DEU,DE.HH,Germany,Hamburg,,DEU,DE.HH,Germany,Hamburg,,1.3333618656164266,-42.29231304173862,0.025970146233930597,0.38502378481108623,-61.15627598717404,0.03540618391646128,0.3837279489384101
